"","simp","shan","chao1"
"Bee.01.16S.repl1.R1.fastq.gz",0.674600117821287,1.925659177976,38.3333333333333
"Bee.01.16S.repl2.R1.fastq.gz",0.652624010604514,1.83102950002016,44.1428571428571
"Bee.02.16S.repl1.R1.fastq.gz",0.673099878293983,1.9037480875865,41.5
"Bee.02.16S.repl2.R1.fastq.gz",0.664906031828878,1.86401372865827,47
"Bee.03.16S.repl1.R1.fastq.gz",0.838313009710785,2.40183996238683,47
"Bee.03.16S.repl2.R1.fastq.gz",0.829040789728649,2.36140562763565,48
"Bee.04.16S.repl1.R1.fastq.gz",0.906025928594525,2.65675620839596,48
"Bee.04.16S.repl2.R1.fastq.gz",0.889637704703551,2.44786468210254,36
"Bee.05.16S.repl1.R1.fastq.gz",0.803949566844,2.16357155970139,47
"Bee.05.16S.repl2.R1.fastq.gz",0.796182252443519,2.14747572898503,47
"Bee.06.16S.repl1.R1.fastq.gz",0.81362101911216,2.25420208689439,41
"Bee.06.16S.repl2.R1.fastq.gz",0.792016689484602,2.13089770310035,43
"Bee.07.16S.repl1.R1.fastq.gz",0.233707163914372,0.647174507164448,24
"Bee.07.16S.repl2.R1.fastq.gz",0.272815283037883,0.853371059154071,50
"Bee.08.16S.repl1.R1.fastq.gz",0.854581726815794,2.30043527897735,33
"Bee.08.16S.repl2.R1.fastq.gz",0.862244225167353,2.37116617270456,39
"Bee.09.16S.repl1.R1.fastq.gz",0.22380685903531,0.582710294401799,12
"Bee.09.16S.repl2.R1.fastq.gz",0.255912148521289,0.677952442454567,16
"Bee.10.16S.repl1.R1.fastq.gz",0.888272604931497,2.47843232407442,34
"Bee.10.16S.repl2.R1.fastq.gz",0.869782729453352,2.2830229009275,29
"Bee.11.16S.repl1.R1.fastq.gz",0.890445241940805,2.59192452247941,34
"Bee.11.16S.repl2.R1.fastq.gz",0.894236567196147,2.55906977896786,32
"Bee.12.16S.repl1.R1.fastq.gz",0.844431972566578,2.48063675300961,51
"Bee.12.16S.repl2.R1.fastq.gz",0.835021635496334,2.29744405955429,33.5
"Bee.13.16S.repl1.R1.fastq.gz",0.856153484893485,2.46737962303069,36
"Bee.13.16S.repl2.R1.fastq.gz",0.837540622220539,2.27079079091885,33.2
"Bee.14.16S.repl1.R1.fastq.gz",0.808690100789467,2.28430447466782,42.5
"Bee.14.16S.repl2.R1.fastq.gz",0.797324697637264,2.13291659166512,29
"Bee.15.16S.repl1.R1.fastq.gz",0.2183441278712,0.675721788771662,33
"Bee.15.16S.repl2.R1.fastq.gz",0.886940002441406,2.40778458239517,16
"Bee.16.16S.repl1.R1.fastq.gz",0.57470441096207,1.16865803248644,20
"Bee.16.16S.repl2.R1.fastq.gz",0.575220236858108,1.18459033876367,20.25
"Bee.17.16S.repl1.R1.fastq.gz",0.20659006198211,0.596679586983427,18
"Bee.17.16S.repl2.R1.fastq.gz",0.242344268470755,0.685093635009753,22
"Bee.18.16S.repl1.R1.fastq.gz",0.868218752688985,2.38762446482037,52
"Bee.18.16S.repl2.R1.fastq.gz",0.847612499194905,2.16284287926966,29
"Bee.19.16S.repl1.R1.fastq.gz",0.763609716215833,2.12541076445508,43
"Bee.19.16S.repl2.R1.fastq.gz",0.764167674629883,2.06975182729392,30.5
"Bee.20.16S.repl1.R1.fastq.gz",0.258753103267055,0.800579673142464,38
"Bee.20.16S.repl2.R1.fastq.gz",0.304452091529455,0.774220441756504,12
"Bee.21.16S.repl1.R1.fastq.gz",0.165437512142947,0.516561046735888,30
"Bee.21.16S.repl2.R1.fastq.gz",0.112313127099437,0.336211482000807,11
"Bee.22.16S.repl1.R1.fastq.gz",0.888946178650516,2.60846479499016,48
"Bee.22.16S.repl2.R1.fastq.gz",0.868767119969099,2.37905596838302,28
"Bee.23.16S.repl1.R1.fastq.gz",0.855854137463301,2.35572874244297,49
"Bee.23.16S.repl2.R1.fastq.gz",0.854310396065477,2.23385439637101,26
"Bee.24.16S.repl1.R1.fastq.gz",0.741765836711404,2.11303531214971,46
"Bee.24.16S.repl2.R1.fastq.gz",0.748869971880957,1.98474126064671,27
"Bee.25.16S.repl1.R1.fastq.gz",0.81510793745875,2.02126367542765,26
"Bee.25.16S.repl2.R1.fastq.gz",0.829801349550495,2.15080504559056,39.5
"Bee.26.16S.repl1.R1.fastq.gz",0.775943146309753,2.08852752983376,33
"Bee.26.16S.repl2.R1.fastq.gz",0.781917809342031,2.13299340827873,37.5
"Bee.27.16S.repl1.R1.fastq.gz",0.791646596410582,2.21336605773791,35
"Bee.27.16S.repl2.R1.fastq.gz",0.808441714090667,2.33514115760215,41
"Bee.28.16S.repl1.R1.fastq.gz",0.489858832760505,1.2011753113564,28
"Bee.28.16S.repl2.R1.fastq.gz",0.585128096857198,1.45647719600942,28
"Bee.29.16S.repl1.R1.fastq.gz",0.592270084832555,1.39845985932672,19
"Bee.29.16S.repl2.R1.fastq.gz",0.591987442672144,1.37217593368584,21
"Bee.30.16S.repl1.R1.fastq.gz",0.500096961374357,1.37223320678851,34
"Bee.30.16S.repl2.R1.fastq.gz",0.484447470974088,1.32593507752617,28
"Bee.31.16S.repl1.R1.fastq.gz",0.709049426963156,1.75685633055767,24
"Bee.31.16S.repl2.R1.fastq.gz",0.685350191323222,1.69559361670017,36
"Bee.32.16S.repl1.R1.fastq.gz",0.816117363754153,2.16798048974354,44.3333333333333
"Bee.32.16S.repl2.R1.fastq.gz",0.83291393651241,2.18641403567939,29.5
"Bee.33.16S.repl1.R1.fastq.gz",0.871578633213166,2.28604776851704,25
"Bee.33.16S.repl2.R1.fastq.gz",0.87814287181156,2.38842074394477,32
"Bee.34.16S.repl1.R1.fastq.gz",0.804315347203466,2.09734960934651,35
"Bee.34.16S.repl2.R1.fastq.gz",0.810953906292655,2.09744053068807,37
"Bee.35.16S.repl1.R1.fastq.gz",0.890024809127852,2.60217285538103,33
"Bee.35.16S.repl2.R1.fastq.gz",0.888177190268236,2.60041135071535,43
"Bee.36.16S.repl1.R1.fastq.gz",0.840693023204053,2.16668986745337,37
"Bee.36.16S.repl2.R1.fastq.gz",0.835221470523923,2.09634056964217,32
"Bee.37.16S.repl1.R1.fastq.gz",0.931842432704429,2.99204937895587,45
"Bee.37.16S.repl2.R1.fastq.gz",0.929657044236201,2.92980498701579,43
"Bee.38.16S.repl1.R1.fastq.gz",0.802033473281836,2.00802108200261,28
"Bee.38.16S.repl2.R1.fastq.gz",0.78058028529593,1.86410474970068,25
"Bee.39.16S.repl1.R1.fastq.gz",0.787691706377888,2.12890083501401,35
"Bee.39.16S.repl2.R1.fastq.gz",0.780454785895338,2.07813403684657,35
"Bee.40.16S.repl1.R1.fastq.gz",0.843273570753564,2.47450192184314,24
"Bee.40.16S.repl2.R1.fastq.gz",0.796517717098521,1.97662357653408,24
