Gorge,Locality,Longitude,Latitude,Altitude (in m above sea level),Sample,Replica
Digorskoe gorge,Akhsau village,43.7125,42.940278,1033,Bee_07,repl_1
,,,,,,repl_2
,,,,,Bee_08,repl_1
,,,,,,repl_2
,,,,,Bee_09,repl_1
,,,,,,repl_2
,,,,,Bee_16,repl_1
,,,,,,repl_2
,,,,,Bee_17,repl_1
,,,,,,repl_2
,,,,,Bee_18,repl_1
,,,,,,repl_2
,Kalukh village,43.814167,43.064722,964,Bee_01,repl_1
,,,,,,repl_2
,,,,,Bee_02,repl_1
,,,,,,repl_2
,,,,,Bee_03,repl_1
,,,,,,repl_2
,,,,,Bee_10,repl_1
,,,,,,repl_2
,,,,,Bee_11,repl_1
,,,,,,repl_2
,,,,,Bee_12,repl_1
,,,,,,repl_2
,Nizhniy Zadalesk village,43.798333,43.020556,1338,Bee_04,repl_1
,,,,,,repl_2
,,,,,Bee_05,repl_1
,,,,,,repl_2
,,,,,Bee_06,repl_1
,,,,,,repl_2
,,,,,Bee_13,repl_1
,,,,,,repl_2
,,,,,Bee_14,repl_1
,,,,,,repl_2
,,,,,Bee_15,repl_1
,,,,,,repl_2
Kurtatinskoe gorge,Dzuarikau village,44.386111,42.999722,785,Bee_23,repl_1
,,,,,,repl_2
,,,,,Bee_24,repl_1
,,,,,,repl_2
,,,,,Bee_25,repl_1
,,,,,,repl_2
,,,,,Bee_32,repl_1
,,,,,,repl_2
,,,,,Bee_33,repl_1
,,,,,,repl_2
,,,,,Bee_34,repl_1
,,,,,,repl_2
,Fiagdon village,44.333056,42.884444,731,Bee_29,repl_1
,,,,,,repl_2
,,,,,Bee_30,repl_1
,,,,,,repl_2
,,,,,Bee_31,repl_1
,,,,,,repl_2
,,,,,Bee_38,repl_1
,,,,,,repl_2
,,,,,Bee_39,repl_1
,,,,,,repl_2
,,,,,Bee_40,repl_1
,,,,,,repl_2
,Tagardon village,44.3825,42.981111,1028,Bee_26,repl_1
,,,,,,repl_2
,,,,,Bee_27,repl_1
,,,,,,repl_2
,,,,,Bee_28,repl_1
,,,,,,repl_2
,,,,,Bee_35,repl_1
,,,,,,repl_2
,,,,,Bee_36,repl_1
,,,,,,repl_2
,,,,,Bee_37,repl_1
,,,,,,repl_2
Maminson Gorge,Kamskho village,43.842222,42.6625,2004,Bee_19,repl_1
,,,,,,repl_2
,,,,,Bee_20,repl_1
,,,,,,repl_2
,,,,,Bee_21,repl_1
,,,,,,repl_2
,,,,,Bee_22,repl_1
,,,,,,repl_2